Country,case rate (day-1),death rate (day-1),doubling cases (days),doubling deaths (days),0.5% mort sim cases,1% mort sim cases,2% mort sim cases
AUT,0.0799389759089,0.288023925386,8.67095397056,2.40656112033,384880.37378,192440.18689,96220.0934449
ARG,0.2455464934,0.144568138569,2.82287550093,4.79460541873,19525.8199396,9762.90996979,4881.4549849
BRA,0.304083095633,0.392027958245,2.27946633836,1.76810649848,1603182.30292,801591.151461,400795.575731
BGR,0.0877456365928,0.0919507350385,7.89950597517,7.53824512952,4012.88718952,2006.44359476,1003.22179738
BEL,0.179387787186,0.313266533513,3.86395970112,2.21264356836,2353133.84041,1176566.92021,588283.460103
CAN,0.148196648283,0.0524821740603,4.67721226216,13.2072878643,1014.09452104,507.047260518,253.523630259
COL,0.299146280662,0.201670474688,2.31708440107,3.43702855677,18032.4603076,9016.2301538,4508.1150769
DNK,0.0763410264914,0.266611553262,9.07961567215,2.59983924957,221513.390646,110756.695323,55378.3476615
FRA,0.140021497181,0.195421001792,4.95029116612,3.54694313407,4277354.55988,2138677.27994,1069338.63997
FIN,0.118175924987,0.346693879299,5.86538400811,1.99930607936,83300.140681,41650.0703405,20825.0351702
DEU,0.12833912482,0.235201740381,5.40090312701,2.94703253231,1355370.06696,677685.033481,338842.516741
GRC,0.18736283347,0.217843547467,3.69949134373,3.18185775351,75959.3005622,37979.6502811,18989.8251405
HUN,0.212170328363,0.214993492074,3.2669373984,3.22403796446,25752.8991574,12876.4495787,6438.22478935
IND,0.188192330028,0.199066671093,3.68318507165,3.48198508948,46850.6415034,23425.3207517,11712.6603759
IDN,0.252545544723,0.250176874918,2.74464228351,2.77062850348,297779.08363,148889.541815,74444.7709075
IRL,0.197519246217,0.209946900785,3.50926400255,3.30153566434,88147.816828,44073.908414,22036.954207
ITA,0.072007110467,0.0975593094591,9.62609353527,7.10487993819,6149582.03096,3074791.01548,1537395.50774
ISR,0.232041883098,0.369473150724,2.98716408998,1.87604208642,128751.258859,64375.6294296,32187.8147148
MEX,0.214994966503,0.278610932491,3.22401585411,2.48786784626,64871.1948389,32435.5974195,16217.7987097
MDA,0.269935686472,0.0685530178576,2.56782343091,10.1111111111,793.929547089,396.964773544,198.482386772
NLD,0.162129759987,0.204200246172,4.27526186811,3.39444831019,1333142.28674,666571.14337,333285.571685
NGA,0.195645751533,0.0577622650467,3.54286855262,12.0,712.718974512,356.359487256,178.179743628
NOR,0.0911532867874,0.152285685321,7.60419294783,4.55162400259,29345.9587042,14672.9793521,7336.48967605
PAK,0.267227602338,0.21401023244,2.59384574982,3.23885065054,35701.2909676,17850.6454838,8925.32274189
PRT,0.290587981045,0.374271561255,2.3853263926,1.85198997817,1181949.08617,590974.543083,295487.271542
POL,0.175735549798,0.152773846351,3.94426273658,4.53708011624,28568.0155772,14284.0077886,7142.00389429
ROU,0.166593374948,0.289915439867,4.16071275808,2.39085983443,236064.189189,118032.094595,59016.0472973
RUS,0.258240050484,0.248490664979,2.68411959826,2.78942945651,21600.0,10800.0,5400.0
ESP,0.150486808703,0.226494689724,4.60603282464,3.06032420188,14861962.2522,7430981.12612,3715490.56306
SWE,0.0930152524984,0.278811960471,7.45197332633,2.48607405288,474512.667391,237256.333695,118628.166848
CHE,0.21888733159,0.255004527601,3.1666847758,2.71817597546,919591.686097,459795.843049,229897.921524
TUR,0.513080944499,0.459161953284,1.35095093277,1.50959193287,3314776.89869,1657388.44935,828694.224673
GBR,0.173836651487,0.20641554264,3.98734774646,3.35801835314,2218625.30412,1109312.65206,554656.326031
UKR,0.272522473661,0.1456126205,2.54344961444,4.76021362833,11152.2096151,5576.10480753,2788.05240376
USA,0.278845089282,0.231306318194,2.48577868933,2.99666341142,6018735.59835,3009367.79917,1504683.89959
